[0,   0]    47
[1,   1]    97
[2,   2]    365
[3,   3]    815
[4,   4]    870
[5,   5]    1102
[6,   6]    2103
[7,   7]    1858
[8,   8]    2190
[9,   9]    3625
[10,   10]    3278
[11,   11]    3583
[12,   12]    5224
[13,   13]    4235
[14,   14]    4366
[15,   15]    6093
[16,   16]    4584
[17,   17]    4748
[18,   18]    6790
[19,   19]    4819
[20,   20]    4837
[21,   21]    6111
[22,   22]    4395
[23,   23]    4261
[24,   24]    5896
[25,   25]    4013
[26,   26]    3535
[27,   27]    3942
[28,   28]    2621
[29,   29]    2079
[30,   30]    2250
[31,   31]    1468
[32,   32]    1222
[33,   33]    1508
[34,   34]    931
[35,   35]    785
[36,   36]    869
[37,   37]    552
[38,   38]    382
[39,   39]    138
[40,   40]    151
[41,   41]    206
[42,   42]    166
[43,   43]    113
[44,   44]    119
[45,   45]    117
[46,   46]    131
[47,   47]    177
[48,   48]    131
[49,   49]    188
[50,   50]    109
[51,   51]    90
[52,   52]    112
[53,   53]    79
[54,   54]    98
[55,   55]    123
[56,   56]    78
[57,   57]    94
[58,   58]    55
[59,   59]    46
[60,   60]    68
[61,   61]    68
[62,   62]    60
[63,   63]    87
[64,   64]    55
[65,   65]    95
[66,   66]    44
[67,   67]    43
[68,   68]    46
[69,   69]    55
[70,   70]    48
[71,   71]    80
[72,   72]    56
[73,   73]    61
[74,   74]    66
[75,   75]    32
[76,   76]    46
[77,   77]    34
[78,   78]    40
[79,   79]    59
[80,   80]    35
[81,   81]    41
[82,   82]    52
[83,   83]    27
[84,   84]    34
[85,   85]    35
[86,   86]    32
[87,   87]    42
[88,   88]    22
[89,   89]    30
[90,   90]    50
[91,   91]    28
[92,   92]    26
[93,   93]    26
[94,   94]    20
[95,   95]    14
[96,   96]    5
[97,   97]    6
[98,   98]    5
[99,   99]    1
[100,   100]    1
[101,   101]    0
[102,   102]    2
[103,   103]    1
[104,   104]    2
[105,   105]    1
[106,   106]    2
[107,   107]    2
[108,   108]    3
[109,   109]    2
[110,   110]    2
[111,   111]    4
[112,   112]    0
[113,   113]    2
[114,   114]    2
[115,   115]    1
[116,   116]    1
[117,   117]    1
[118,   118]    3
[119,   119]    3
[120,   120]    2
[121,   121]    2
[122,   122]    1
[123,   123]    2
[124,   124]    1
[125,   125]    2
[126,   126]    3
[127,   127]    2
[128,   128]    2
[129,   129]    1
[130,   130]    4
[131,   131]    1
[132,   132]    1
[133,   133]    0
[134,   134]    2
[135,   135]    1
[136,   136]    5
[137,   137]    1
[138,   138]    4
[139,   139]    1
[140,   140]    0
[141,   141]    0
[142,   142]    1
[143,   143]    2
[144,   144]    2
[145,   145]    0
[146,   146]    4
[147,   147]    1
[148,   148]    0
[149,   149]    0
[150,   150]    2
[151,   151]    1
[152,   152]    1
[153,   153]    0
[154,   154]    2
[155,   155]    2
[156,   156]    1
[157,   157]    0
[158,   158]    1
[159,   159]    2
[160,   160]    0
[161,   161]    2
[162,   162]    0
[163,   163]    0
[164,   164]    1
[165,   165]    0
[166,   166]    1
[167,   167]    2
[168,   168]    3
[169,   169]    0
[170,   170]    3
[171,   171]    1
[172,   172]    1
[173,   173]    1
[174,   174]    0
[175,   175]    2
[176,   176]    2
[177,   177]    0
[178,   178]    2
[179,   179]    1
[180,   180]    2
[181,   181]    3
[182,   182]    4
[183,   183]    2
[184,   184]    0
[185,   185]    2
[186,   186]    0
[187,   187]    0
[188,   188]    1
[189,   189]    2
[190,   190]    0
[191,   191]    1
[192,   192]    0
[193,   193]    1
[194,   194]    0
[195,   195]    0
[196,   196]    0
[197,   197]    2
[198,   198]    0
[199,   199]    1
[200,   200]    0
[201,   201]    1
[202,   202]    0
[203,   203]    0
[204,   204]    3
[205,   205]    1
[206,   206]    0
[207,   207]    0
[208,   208]    2
[209,   209]    1
[210,   210]    3
[211,   211]    1
[212,   212]    1
[213,   213]    2
[214,   214]    0
[215,   215]    2
[216,   216]    0
[217,   217]    2
[218,   218]    1
[219,   219]    1
[220,   220]    1
[221,   221]    0
[222,   222]    1
[223,   223]    0
[224,   224]    1
[225,   225]    0
[226,   226]    1
[227,   227]    1
[228,   228]    0
[229,   229]    1
[230,   230]    0
[231,   231]    0
[232,   232]    0
[233,   233]    0
[234,   234]    1
[235,   235]    0
[236,   236]    1
[237,   237]    1
[238,   238]    2
[239,   239]    0
[240,   240]    0
[241,   241]    5
[242,   242]    8
[243,   243]    5
[244,   244]    3
[245,   245]    3
[246,   246]    2
[247,   247]    5
[248,   248]    4
[249,   249]    3
[250,   250]    4
[251,   251]    5
[252,   252]    1
[253,   253]    3
[254,   254]    4
[255,   255]    145275
